keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,new,change,changetype_1,changetype_2,cluster
339-1914,325-1914,394,394,339,ALB,325,ITA,1914,13,9,1914,13,3,1915,0,0,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,4,0,16,4,1,3,1,3,1,0,1,110,110,14,0,14,84,49,84,0,0,0,0,cluster2
339-1915,325-1915,394,394,339,ALB,325,ITA,1915,13,9,1914,13,3,1915,2,2,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,4,9,16,4,1,3,1,3,1,0,2,73,183,14,0,14,84,0,84,0,0,0,0,cluster2
255-1916,360-1916,396,396,255,GMY,360,ROM,1916,14,8,1916,27,8,1916,8,4,0,20,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,1,14,14,18,0,18,99,30,99,0,0,0,0,cluster2
360-1916,255-1916,396,396,360,ROM,255,GMY,1916,14,8,1916,27,8,1916,8,4,0,20,4,0,1,1,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,14,14,18,18,0,99,99,30,0,0,0,0,cluster3
345-1914,355-1914,397,397,345,YUG,355,BUL,1914,17,8,1914,14,10,1915,0,0,0,18,4,0,1,3,0,0,0,0,0,1,1,1,1,1,0,18,4,1,3,1,3,1,0,1,137,137,17,0,17,75,75,75,0,0,0,0,cluster2
345-1915,355-1915,397,397,345,YUG,355,BUL,1915,17,8,1914,14,10,1915,8,3,0,18,4,0,1,3,0,0,0,0,0,1,1,1,1,1,9,18,4,1,3,1,3,1,0,2,288,425,17,0,17,75,0,75,0,0,0,0,cluster2
355-1914,345-1914,397,397,355,BUL,345,YUG,1914,17,8,1914,14,10,1915,0,0,0,18,4,0,1,3,1,1,1,0,18,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,137,137,17,17,0,75,75,65,0,0,0,0,cluster3
355-1915,345-1915,397,397,355,BUL,345,YUG,1915,17,8,1914,14,10,1915,8,3,0,18,4,0,1,3,1,1,1,9,18,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,288,425,17,17,0,75,75,49,0,0,0,0,cluster3
355-1915,365-1915,397,397,355,BUL,365,RUS,1915,2,10,1915,14,10,1915,8,3,0,18,4,0,1,3,1,1,1,9,18,4,1,0,0,0,0,2,2,0,1,4,3,1,0,1,13,13,17,17,1,75,75,30,0,0,0,0,cluster3
365-1915,355-1915,397,397,365,RUS,355,BUL,1915,2,10,1915,14,10,1915,8,3,0,18,4,0,1,3,0,0,0,0,2,2,0,1,1,1,9,18,4,1,4,1,1,3,0,1,13,13,17,1,17,75,30,75,0,0,0,0,cluster2
Feb-15,255-1915,398,398,2,USA,255,GMY,1915,27,1,1915,4,2,1916,0,0,0,19,4,0,1,1,0,0,0,0,2,2,1,1,0,0,0,19,4,1,3,1,3,1,0,1,339,339,16,1,16,65,30,65,0,1,0,0,cluster2
Feb-16,255-1916,398,398,2,USA,255,GMY,1916,27,1,1915,4,2,1916,8,3,0,19,4,0,1,1,0,0,0,0,2,2,1,1,0,0,0,19,4,1,3,1,3,1,0,2,36,375,16,1,16,65,30,65,0,1,0,0,cluster2
255-1915,Feb-15,398,398,255,GMY,2,USA,1915,27,1,1915,4,2,1916,0,0,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,1,339,339,16,16,1,65,65,30,0,1,0,0,cluster3
255-1916,Feb-16,398,398,255,GMY,2,USA,1916,27,1,1915,4,2,1916,8,3,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,2,36,375,16,16,1,65,65,30,0,1,0,0,cluster3
140-1917,255-1917,400,400,140,BRA,255,GMY,1917,5,4,1917,11,11,1918,0,0,0,19,4,0,1,1,0,0,0,0,17,4,1,1,1,2,0,19,4,1,3,1,3,1,0,1,271,271,16,15,16,65,81,65,0,0,0,0,cluster2
140-1918,255-1918,400,400,140,BRA,255,GMY,1918,5,4,1917,11,11,1918,8,3,0,19,4,0,1,1,0,0,0,0,17,4,1,1,1,2,0,19,4,1,3,1,3,1,0,2,316,587,16,15,16,65,81,65,0,0,0,0,cluster2
255-1917,140-1917,400,400,255,GMY,140,BRA,1917,5,4,1917,11,11,1918,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,17,4,1,1,3,1,3,0,1,271,271,16,16,15,65,65,81,0,0,0,0,cluster3
255-1918,140-1918,400,400,255,GMY,140,BRA,1918,5,4,1917,11,11,1918,8,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,17,4,1,1,3,1,3,0,2,316,587,16,16,15,65,65,81,0,0,0,0,cluster3
325-1931,530-1931,407,407,325,ITA,530,ETH,1931,1,9,1931,30,9,1931,5,3,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,30,30,7,0,7,49,84,49,0,0,0,0,cluster2
530-1931,325-1931,407,407,530,ETH,325,ITA,1931,1,9,1931,30,9,1931,5,3,0,7,3,0,1,1,1,1,1,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,30,30,7,7,0,49,49,0,0,0,0,0,cluster3
365-1937,740-1937,409,409,365,RUS,740,JPN,1937,31,5,1937,1,9,1937,5,3,1,18,4,1,1,1,0,1,1,1,18,4,1,1,1,1,1,18,4,1,3,1,3,1,0,1,94,94,17,17,17,75,75,75,0,0,0,0,cluster2
740-1937,365-1937,409,409,740,JPN,365,RUS,1937,31,5,1937,1,9,1937,5,3,1,18,4,1,1,1,1,1,1,1,18,4,1,0,1,1,1,18,4,1,1,3,1,3,0,1,94,94,17,17,17,75,75,75,0,0,0,0,cluster3
290-1938,365-1938,410,410,290,POL,365,RUS,1938,23,9,1938,1,12,1938,3,3,0,7,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,7,3,1,3,1,3,1,0,1,70,70,7,0,7,49,0,49,0,0,0,0,cluster2
365-1938,290-1938,410,410,365,RUS,290,POL,1938,23,9,1938,1,12,1938,4,3,0,7,3,0,1,1,1,1,2,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,70,70,7,7,0,49,49,0,0,0,0,0,cluster3
Feb-41,255-1941,414,414,2,USA,255,GMY,1941,20,3,1941,11,12,1941,8,3,3,20,4,1,1,1,0,0,0,3,20,4,1,1,1,2,1,20,4,1,3,1,3,1,0,1,267,267,18,18,18,99,99,99,0,0,0,0,cluster2
255-1941,Feb-41,414,414,255,GMY,2,USA,1941,20,3,1941,11,12,1941,8,3,3,20,4,1,1,1,1,1,2,1,20,4,1,0,0,0,3,20,4,1,1,3,1,3,0,1,267,267,18,18,18,99,99,99,0,0,0,0,cluster3
325-1940,350-1940,418,418,325,ITA,350,GRC,1940,21,5,1940,25,10,1940,8,3,0,19,4,1,1,1,1,1,1,9,19,4,1,0,0,0,9,18,4,1,1,3,1,3,0,1,158,158,16,16,17,65,65,75,0,0,0,0,cluster3
350-1940,325-1940,418,418,350,GRC,325,ITA,1940,21,5,1940,25,10,1940,8,3,0,19,4,1,1,1,0,0,0,9,18,4,1,1,1,1,9,19,4,1,3,1,3,1,0,1,158,158,16,17,16,65,75,65,0,0,0,0,cluster2
200-1941,255-1941,420,420,200,UKG,255,GMY,1941,14,5,1941,23,5,1941,1,2,0,18,4,0,1,2,1,1,3,9,18,4,1,0,0,0,0,9,3,0,1,4,3,1,0,1,10,10,17,17,7,75,75,49,0,0,0,0,cluster1
255-1941,200-1941,420,420,255,GMY,200,UKG,1941,14,5,1941,23,5,1941,2,2,0,18,4,0,1,2,0,0,0,0,9,3,0,1,1,3,9,18,4,1,4,1,1,3,0,1,10,10,17,7,17,75,49,75,0,0,0,0,cluster1
200-1941,645-1941,420,420,200,UKG,645,IRQ,1941,30,4,1941,23,5,1941,1,2,0,18,4,1,1,2,1,1,3,9,18,4,1,0,0,0,9,18,4,1,1,3,1,3,0,1,24,24,17,17,17,75,75,75,0,0,0,0,cluster3
645-1941,200-1941,420,420,645,IRQ,200,UKG,1941,30,4,1941,23,5,1941,2,2,0,18,4,1,1,2,0,0,0,9,18,4,1,1,1,3,9,18,4,1,3,1,3,1,0,1,24,24,17,17,17,75,75,75,0,0,0,0,cluster2
235-1941,255-1941,421,421,235,POR,255,GMY,1941,12,10,1941,31,12,1941,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,81,81,16,0,16,65,65,65,0,0,0,0,cluster2
255-1941,235-1941,421,421,255,GMY,235,POR,1941,12,10,1941,31,12,1941,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,81,81,16,16,0,65,65,30,0,0,0,0,cluster3
200-1831,220-1831,501,501,200,UKG,220,FRN,1831,5,2,1831,5,2,1831,4,1,0,5,2,0,1,1,1,1,2,0,5,2,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,4,4,0,29,29,65,0,0,0,0,cluster3
220-1831,200-1831,501,501,220,FRN,200,UKG,1831,5,2,1831,5,2,1831,3,1,0,5,2,0,1,1,0,0,0,0,0,1,1,1,1,2,0,5,2,1,3,1,3,1,0,1,1,1,4,0,4,29,81,29,0,0,0,0,cluster2
240-1864,255-1864,502,502,240,HAN,255,GMY,1864,12,2,1864,21,7,1864,6,1,0,7,3,0,1,2,0,0,0,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,161,161,7,0,7,49,65,49,0,0,0,0,cluster2
255-1864,240-1864,502,502,255,GMY,240,HAN,1864,12,2,1864,21,7,1864,6,1,0,7,3,0,1,2,1,1,1,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,161,161,7,7,0,49,49,81,0,0,0,0,cluster3
255-1864,269-1864,502,502,255,GMY,269,SAX,1864,12,2,1864,21,7,1864,6,1,0,7,3,0,1,2,1,1,1,0,7,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,161,161,7,7,0,49,49,49,0,0,0,0,cluster3
269-1864,255-1864,502,502,269,SAX,255,GMY,1864,12,2,1864,21,7,1864,6,1,0,7,3,0,1,2,0,0,0,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,161,161,7,0,7,49,49,49,0,0,0,0,cluster2
365-1939,367-1939,503,503,365,RUS,367,LAT,1939,23,9,1939,18,10,1939,4,1,0,16,4,0,1,1,1,1,2,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,26,26,14,14,0,84,84,75,0,0,0,0,cluster3
367-1939,365-1939,503,503,367,LAT,365,RUS,1939,23,9,1939,18,10,1939,3,1,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,16,4,1,3,1,3,1,0,1,26,26,14,0,14,84,75,84,0,0,0,0,cluster2
365-1940,368-1940,504,504,365,RUS,368,LIT,1940,1,2,1940,15,6,1940,1,2,0,16,4,0,1,1,1,1,2,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,136,136,14,14,0,84,84,49,0,0,0,0,cluster3
368-1940,365-1940,504,504,368,LIT,365,RUS,1940,1,2,1940,15,6,1940,2,2,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,16,4,1,3,1,3,1,0,1,136,136,14,0,14,84,49,84,0,0,0,0,cluster2
365-1940,366-1940,505,505,365,RUS,366,EST,1940,10,6,1940,17,6,1940,1,2,0,15,4,0,1,1,1,1,2,0,15,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,8,8,13,13,0,96,96,99,0,0,0,0,cluster3
366-1940,365-1940,505,505,366,EST,365,RUS,1940,10,6,1940,17,6,1940,2,2,0,15,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,15,4,1,3,1,3,1,0,1,8,8,13,0,13,96,99,96,0,0,0,0,cluster2
220-1881,710-1881,506,506,220,FRN,710,CHN,1881,12,7,1881,31,8,1881,5,3,0,7,3,0,1,1,0,1,1,0,0,1,1,1,0,0,0,7,3,1,3,1,3,1,0,1,51,51,7,0,7,49,65,49,0,0,0,0,cluster2
710-1881,220-1881,506,506,710,CHN,220,FRN,1881,12,7,1881,31,8,1881,5,3,0,7,3,0,1,1,1,0,0,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,51,51,7,7,0,49,49,65,0,0,0,0,cluster3
220-1882,710-1882,507,507,220,FRN,710,CHN,1882,25,4,1882,17,6,1882,5,3,0,7,3,0,1,1,1,1,1,0,7,3,1,0,0,0,0,7,3,1,1,3,1,3,0,1,54,54,7,7,7,49,49,49,0,0,0,0,cluster3
710-1882,220-1882,507,507,710,CHN,220,FRN,1882,25,4,1882,17,6,1882,5,3,0,7,3,0,1,1,0,0,0,0,7,3,1,1,1,1,0,7,3,1,3,1,3,1,0,1,54,54,7,7,7,49,49,49,0,0,0,0,cluster2
220-1866,255-1866,509,509,220,FRN,255,GMY,1866,5,8,1866,7,8,1866,5,3,0,2,2,0,1,1,0,1,1,0,0,1,1,1,0,0,0,2,2,1,3,1,3,1,0,1,3,3,1,0,1,30,75,30,0,0,0,0,cluster2
255-1866,220-1866,509,509,255,GMY,220,FRN,1866,5,8,1866,7,8,1866,5,3,0,2,2,0,1,1,1,0,0,0,2,2,1,0,1,1,0,0,1,1,1,3,1,3,0,1,3,3,1,1,0,30,30,75,0,0,0,0,cluster3
365-1920,740-1920,510,510,365,RUS,740,JPN,1920,2,4,1920,25,10,1922,0,0,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,274,274,16,0,16,65,0,65,0,0,0,0,cluster2
365-1921,740-1921,510,510,365,RUS,740,JPN,1921,2,4,1920,25,10,1922,0,0,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,2,365,639,16,0,16,65,65,65,0,0,0,0,cluster2
365-1922,740-1922,510,510,365,RUS,740,JPN,1922,2,4,1920,25,10,1922,3,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,3,299,938,16,0,16,65,29,65,0,0,0,0,cluster2
740-1920,365-1920,510,510,740,JPN,365,RUS,1920,2,4,1920,25,10,1922,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,274,274,16,16,0,65,65,29,0,0,0,0,cluster3
740-1921,365-1921,510,510,740,JPN,365,RUS,1921,2,4,1920,25,10,1922,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,365,639,16,16,0,65,65,49,0,0,0,0,cluster3
740-1922,365-1922,510,510,740,JPN,365,RUS,1922,2,4,1920,25,10,1922,4,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,3,299,938,16,16,0,65,65,0,0,0,0,0,cluster3
325-1899,710-1899,511,511,325,ITA,710,CHN,1899,24,2,1899,30,4,1899,5,3,0,8,3,0,1,1,1,1,2,0,8,3,1,0,0,0,0,7,3,1,1,3,1,3,0,1,66,66,7,7,7,49,49,49,0,0,0,0,cluster3
710-1899,325-1899,511,511,710,CHN,325,ITA,1899,24,2,1899,30,4,1899,5,3,0,8,3,0,1,1,0,0,0,0,7,3,1,1,1,2,0,8,3,1,3,1,3,1,0,1,66,66,7,7,7,49,49,49,0,0,0,0,cluster2
Feb-41,355-1941,518,518,2,USA,355,BUL,1941,1,6,1941,13,12,1941,8,3,0,20,4,1,1,3,0,0,0,0,20,4,0,1,1,1,9,20,4,1,4,1,3,1,0,1,196,196,18,18,18,99,99,99,0,0,0,0,cluster2
355-1941,Feb-41,518,518,355,BUL,2,USA,1941,1,6,1941,13,12,1941,8,3,0,20,4,1,1,3,1,1,1,9,20,4,1,0,0,0,0,20,4,0,1,4,1,3,0,1,196,196,18,18,18,99,99,99,0,0,0,0,cluster3
200-1941,355-1941,518,518,200,UKG,355,BUL,1941,1,6,1941,13,12,1941,8,3,0,20,4,1,1,3,0,0,0,0,20,4,0,1,1,1,9,20,4,1,4,1,3,1,0,1,196,196,18,18,18,99,99,99,0,0,0,0,cluster2
355-1941,200-1941,518,518,355,BUL,200,UKG,1941,1,6,1941,13,12,1941,8,3,0,20,4,1,1,3,1,1,1,9,20,4,1,0,0,0,0,20,4,0,1,4,1,3,0,1,196,196,18,18,18,99,99,99,0,0,0,0,cluster3
355-1941,365-1941,518,518,355,BUL,365,RUS,1941,1,3,1941,13,12,1941,8,3,0,20,4,1,1,3,1,1,1,9,20,4,1,0,0,0,9,20,4,1,1,3,1,3,0,1,288,288,18,18,18,99,99,99,0,0,0,0,cluster3
365-1941,355-1941,518,518,365,RUS,355,BUL,1941,1,3,1941,13,12,1941,8,3,0,20,4,1,1,3,0,0,0,9,20,4,1,1,1,1,9,20,4,1,3,1,3,1,0,1,288,288,18,18,18,99,99,99,0,0,0,0,cluster2
255-1917,800-1917,521,521,255,GMY,800,THI,1917,22,7,1917,11,11,1918,0,0,0,20,4,0,1,2,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,1,163,163,18,0,18,99,0,99,0,0,0,0,cluster2
255-1918,800-1918,521,521,255,GMY,800,THI,1918,22,7,1917,11,11,1918,8,3,0,20,4,0,1,2,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,2,316,479,18,0,18,99,49,99,0,0,0,0,cluster2
800-1917,255-1917,521,521,800,THI,255,GMY,1917,22,7,1917,11,11,1918,0,0,0,20,4,0,1,2,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,163,163,18,18,0,99,99,49,0,0,0,0,cluster3
800-1918,255-1918,521,521,800,THI,255,GMY,1918,22,7,1917,11,11,1918,8,3,0,20,4,0,1,2,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,316,479,18,18,0,99,99,49,0,0,0,0,cluster3
300-1917,800-1917,521,521,300,AUH,800,THI,1917,22,7,1917,3,11,1918,0,0,0,20,4,0,1,2,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,1,163,163,18,0,18,99,0,99,0,0,0,0,cluster2
300-1918,800-1918,521,521,300,AUH,800,THI,1918,22,7,1917,3,11,1918,8,3,0,20,4,0,1,2,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,2,308,471,18,0,18,99,30,99,0,0,0,0,cluster2
800-1917,300-1917,521,521,800,THI,300,AUH,1917,22,7,1917,3,11,1918,0,0,0,20,4,0,1,2,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,163,163,18,18,0,99,99,65,0,0,0,0,cluster3
800-1918,300-1918,521,521,800,THI,300,AUH,1918,22,7,1917,3,11,1918,8,3,0,20,4,0,1,2,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,308,471,18,18,0,99,99,65,0,0,0,0,cluster3
93-1918,255-1918,522,522,93,NIC,255,GMY,1918,8,5,1918,11,11,1918,8,3,0,20,4,0,1,2,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,188,188,18,18,0,99,99,65,0,0,0,0,cluster3
255-1918,93-1918,522,522,255,GMY,93,NIC,1918,8,5,1918,11,11,1918,8,3,0,20,4,0,1,2,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,1,188,188,18,0,18,99,65,99,0,0,0,0,cluster2
93-1918,300-1918,522,522,93,NIC,300,AUH,1918,8,5,1918,3,11,1918,8,3,0,20,4,0,1,2,1,0,0,0,20,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,180,180,18,18,0,99,99,0,0,0,0,0,cluster3
300-1918,93-1918,522,522,300,AUH,93,NIC,1918,8,5,1918,3,11,1918,8,3,0,20,4,0,1,2,0,0,0,0,0,1,1,1,0,0,0,20,4,1,3,1,3,1,0,1,180,180,18,0,18,99,65,99,0,0,0,0,cluster2
365-1941,630-1941,523,523,365,RUS,630,IRN,1941,19,8,1941,31,8,1941,1,2,0,19,4,0,1,1,1,1,2,9,16,4,1,0,0,0,9,19,4,1,1,3,1,3,0,1,13,13,16,14,16,65,84,65,0,0,0,0,cluster3
630-1941,365-1941,523,523,630,IRN,365,RUS,1941,19,8,1941,31,8,1941,2,2,0,19,4,0,1,1,0,0,0,9,19,4,1,1,1,2,9,16,4,1,3,1,3,1,0,1,13,13,16,16,14,65,65,84,0,0,0,0,cluster2
Feb-72,130-1972,602,602,2,USA,130,ECU,1972,12,11,1972,22,11,1972,7,1,0,17,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,17,4,1,3,1,3,1,0,1,11,11,15,0,15,81,99,81,0,0,0,0,cluster2
130-1972,Feb-72,602,602,130,ECU,2,USA,1972,12,11,1972,22,11,1972,7,1,0,17,4,0,1,1,1,1,2,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,11,11,15,15,0,81,81,99,0,0,0,0,cluster3
200-1946,365-1946,603,603,200,UKG,365,RUS,1946,3,8,1946,3,8,1946,5,3,0,8,3,0,1,2,1,0,0,0,8,3,1,0,0,0,0,7,3,0,1,4,1,3,0,1,1,1,7,7,7,49,49,49,0,0,0,0,cluster3
365-1946,200-1946,603,603,365,RUS,200,UKG,1946,3,8,1946,3,8,1946,5,3,0,8,3,0,1,2,0,0,0,0,7,3,0,1,0,0,0,8,3,1,4,1,3,1,0,1,1,1,7,7,7,49,49,49,0,0,0,0,cluster2
200-1946,630-1946,603,603,200,UKG,630,IRN,1946,2,8,1946,3,8,1946,5,3,0,8,3,0,1,2,1,0,0,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,7,7,0,49,49,99,0,0,0,0,cluster3
630-1946,200-1946,603,603,630,IRN,200,UKG,1946,2,8,1946,3,8,1946,5,3,0,8,3,0,1,2,0,0,0,0,0,1,1,1,0,0,0,8,3,1,3,1,3,1,0,1,2,2,7,0,7,49,99,49,0,0,0,0,cluster2
200-1949,678-1949,604,604,200,UKG,678,YAR,1949,1,7,1949,9,9,1949,1,2,0,19,4,0,1,1,1,0,0,9,19,4,1,0,1,1,0,7,3,1,1,3,1,3,0,1,71,71,16,16,7,65,65,49,0,0,0,0,cluster3
678-1949,200-1949,604,604,678,YAR,200,UKG,1949,1,7,1949,9,9,1949,2,2,0,19,4,0,1,1,0,1,1,0,7,3,1,1,0,0,9,19,4,1,3,1,3,1,0,1,71,71,16,7,16,65,49,65,0,0,0,0,cluster2
710-1956,775-1956,605,605,710,CHN,775,MYA,1956,30,7,1956,12,12,1956,6,1,0,18,4,1,1,1,1,1,1,9,18,4,1,0,0,0,9,18,4,1,1,3,1,3,0,1,136,136,17,17,17,75,75,75,0,0,0,0,cluster3
775-1956,710-1956,605,605,775,MYA,710,CHN,1956,30,7,1956,12,12,1956,6,1,0,18,4,1,1,1,0,0,0,9,18,4,1,1,1,1,9,18,4,1,3,1,3,1,0,1,136,136,17,17,17,75,75,75,0,0,0,0,cluster2
310-1956,365-1956,606,606,310,HUN,365,RUS,1956,20,10,1956,14,11,1956,2,2,6,22,5,0,1,1,0,0,0,6,22,5,1,1,1,3,6,22,5,1,3,1,3,1,1,1,26,26,20,20,20,100,100,100,0,1,0,0,cluster1
365-1956,310-1956,606,606,365,RUS,310,HUN,1956,20,10,1956,14,11,1956,1,2,6,22,5,0,1,1,1,1,3,6,22,5,1,0,0,0,6,22,5,1,1,3,1,3,1,1,26,26,20,20,20,100,100,100,0,1,0,0,cluster1
Feb-57,365-1957,607,607,2,USA,365,RUS,1957,25,4,1957,19,11,1957,5,3,0,8,3,0,3,4,0,0,0,0,8,3,0,1,0,0,0,8,3,0,4,2,1,3,0,1,209,209,7,7,7,49,49,49,0,0,0,0,cluster2
365-1957,Feb-57,607,607,365,RUS,2,USA,1957,25,4,1957,19,11,1957,5,3,0,8,3,0,3,4,1,0,0,0,8,3,0,0,0,0,0,8,3,0,2,4,3,1,0,1,209,209,7,7,7,49,49,49,0,0,0,0,cluster3
Feb-57,651-1957,607,607,2,USA,651,EGY,1957,13,10,1957,19,11,1957,5,3,0,8,3,0,3,4,0,0,0,0,8,3,0,1,0,0,0,0,1,0,4,2,3,1,0,1,38,38,7,7,0,49,49,0,0,0,0,0,cluster2
651-1957,Feb-57,607,607,651,EGY,2,USA,1957,13,10,1957,19,11,1957,5,3,0,8,3,0,3,4,1,0,0,0,0,1,0,0,0,0,0,8,3,0,2,4,1,3,0,1,38,38,7,0,7,49,0,49,0,0,0,0,cluster3
Feb-57,652-1957,607,607,2,USA,652,SYR,1957,25,4,1957,19,11,1957,5,3,0,8,3,0,3,4,0,0,0,0,8,3,0,1,1,1,0,0,1,1,4,1,1,3,0,1,209,209,7,7,0,49,49,0,0,0,0,0,cluster3
652-1957,Feb-57,607,607,652,SYR,2,USA,1957,25,4,1957,19,11,1957,5,3,0,8,3,0,3,4,1,1,1,0,0,1,1,0,0,0,0,8,3,0,1,4,3,1,0,1,209,209,7,0,7,49,0,49,0,0,0,0,cluster2
365-1957,640-1957,607,607,365,RUS,640,TUR,1957,13,9,1957,19,11,1957,5,3,0,8,3,0,3,4,1,0,0,0,8,3,0,0,1,1,0,0,1,0,2,4,3,1,0,1,68,68,7,7,0,49,49,65,0,0,0,0,cluster3
640-1957,365-1957,607,607,640,TUR,365,RUS,1957,13,9,1957,19,11,1957,5,3,0,8,3,0,3,4,0,1,1,0,0,1,0,1,0,0,0,8,3,0,4,2,1,3,0,1,68,68,7,0,7,49,65,49,0,0,0,0,cluster2
365-1957,663-1957,607,607,365,RUS,663,JOR,1957,13,9,1957,19,11,1957,5,3,0,8,3,0,3,4,1,0,0,0,8,3,0,0,0,0,0,0,1,1,2,3,3,1,0,1,68,68,7,7,0,49,49,81,0,0,0,0,cluster3
663-1957,365-1957,607,607,663,JOR,365,RUS,1957,13,9,1957,19,11,1957,5,3,0,8,3,0,3,4,0,0,0,0,0,1,1,1,0,0,0,8,3,0,3,2,1,3,0,1,68,68,7,0,7,49,81,49,0,0,0,0,cluster2
640-1957,651-1957,607,607,640,TUR,651,EGY,1957,13,10,1957,19,11,1957,5,3,2,18,4,0,3,4,0,1,1,2,18,4,0,1,0,0,0,7,3,0,4,2,3,1,0,1,38,38,17,17,7,75,75,49,0,0,0,0,cluster2
651-1957,640-1957,607,607,651,EGY,640,TUR,1957,13,10,1957,19,11,1957,5,3,2,18,4,0,3,4,1,0,0,0,7,3,0,0,1,1,2,18,4,0,2,4,1,3,0,1,38,38,17,7,17,75,49,75,0,0,0,0,cluster3
640-1957,652-1957,607,607,640,TUR,652,SYR,1957,13,10,1957,19,11,1957,5,3,2,18,4,1,3,4,0,1,1,2,18,4,0,1,1,1,2,18,4,1,4,1,1,3,0,1,38,38,17,17,17,75,75,75,0,0,0,0,cluster1
652-1957,640-1957,607,607,652,SYR,640,TUR,1957,13,10,1957,19,11,1957,5,3,2,18,4,1,3,4,1,1,1,2,18,4,1,0,1,1,2,18,4,0,1,4,3,1,0,1,38,38,17,17,17,75,75,75,0,0,0,0,cluster1
645-1957,652-1957,607,607,645,IRQ,652,SYR,1957,17,4,1957,26,5,1957,5,3,2,18,4,0,3,4,0,0,0,0,7,3,0,1,1,1,2,18,4,1,4,1,1,3,0,1,40,40,17,7,17,75,49,75,0,0,0,0,cluster2
