keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,new,change,changetype_1,changetype_2,cluster
Feb-81,365-1981,2228,2228,2,USA,365,RUS,1981,12,5,1981,14,5,1981,7,3,0,17,4,0,1,1,1,0,0,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,3,3,15,15,0,81,81,75,0,0,0,0,cluster3
365-1981,Feb-81,2228,2228,365,RUS,2,USA,1981,12,5,1981,14,5,1981,7,3,0,17,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,17,4,1,3,1,3,1,0,1,3,3,15,0,15,81,75,81,0,0,0,0,cluster2
Feb-82,365-1982,2229,2229,2,USA,365,RUS,1982,30,9,1982,24,1,1983,0,0,0,16,4,0,1,2,0,0,0,0,9,3,0,1,1,1,0,16,4,1,4,1,1,3,0,1,93,93,14,7,14,84,49,84,0,0,0,0,cluster2
Feb-83,365-1983,2229,2229,2,USA,365,RUS,1983,30,9,1982,24,1,1983,5,3,0,16,4,0,1,2,0,0,0,0,9,3,0,1,1,1,0,16,4,1,4,1,1,3,0,2,25,118,14,7,14,84,49,84,0,0,0,0,cluster2
365-1982,Feb-82,2229,2229,365,RUS,2,USA,1982,30,9,1982,24,1,1983,0,0,0,16,4,0,1,2,1,1,1,0,16,4,1,0,0,0,0,9,3,0,1,4,3,1,0,1,93,93,14,14,7,84,84,49,0,0,0,0,cluster3
365-1983,Feb-83,2229,2229,365,RUS,2,USA,1983,30,9,1982,24,1,1983,5,3,0,16,4,0,1,2,1,1,1,0,16,4,1,0,0,0,0,9,3,0,1,4,3,1,0,2,25,118,14,14,7,84,84,49,0,0,0,0,cluster3
365-1982,740-1982,2229,2229,365,RUS,740,JPN,1982,23,6,1982,24,1,1983,0,0,0,16,4,0,1,2,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,192,192,14,14,0,84,84,75,0,0,0,0,cluster3
365-1983,740-1983,2229,2229,365,RUS,740,JPN,1983,23,6,1982,24,1,1983,5,3,0,16,4,0,1,2,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,25,217,14,14,0,84,84,75,0,0,0,0,cluster3
740-1982,365-1982,2229,2229,740,JPN,365,RUS,1982,23,6,1982,24,1,1983,0,0,0,16,4,0,1,2,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,1,192,192,14,0,14,84,0,84,0,0,0,0,cluster2
740-1983,365-1983,2229,2229,740,JPN,365,RUS,1983,23,6,1982,24,1,1983,5,3,0,16,4,0,1,2,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,2,25,217,14,0,14,84,65,84,0,0,0,0,cluster2
