disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
2150,2150,490,DRC,500,UGA,1977,28,4,1977,26,5,1977,8,4,4.0,18,4,0,4,5,0,0,0,3.0,14,3,1,1,0,0,1.0,18,4,0,3,2,3,1,0,1,29,29,17,12,17,75,65,75,0.0,0,0,0,0,36173.0,135864.0,53.0,23.0,0.0,15.0,8043.0,2495.0,24017.0,12352.0,5379.0,492.0,0.002482691,0.000829688,0.266244185,2.304347826,0.0,3.223647295,1.944381477,10.93292683,2.992316694,0.001653002
2150,2150,500,UGA,490,DRC,1977,28,4,1977,26,5,1977,8,4,4.0,18,4,0,4,5,1,0,0,1.0,18,4,0,0,0,0,3.0,14,3,1,2,3,1,3,0,1,29,29,17,17,12,75,75,65,0.0,0,0,0,0,135864.0,36173.0,23.0,53.0,15.0,0.0,2495.0,8043.0,12352.0,24017.0,492.0,5379.0,0.000829688,0.002482691,3.755950571,0.433962264,?,0.310207634,0.514302369,0.091466815,0.334189226,0.001653002
2150,2150,490,DRC,540,ANG,1977,8,3,1977,26,5,1977,8,4,4.0,18,4,0,4,5,0,0,0,3.0,14,3,1,1,0,0,3.0,18,4,1,3,1,3,1,0,1,80,80,17,12,17,75,65,75,0.0,0,0,0,0,36173.0,?,53.0,47.0,0.0,5.0,8043.0,4529.0,24017.0,6450.0,5379.0,772.0,0.002482691,0.000942262,?,1.127659574,0.0,1.775888717,3.723565891,6.96761658,2.634818988,0.001540428
2150,2150,540,ANG,490,DRC,1977,8,3,1977,26,5,1977,8,4,4.0,18,4,0,4,5,1,0,0,3.0,18,4,1,0,0,0,3.0,14,3,1,1,3,1,3,0,1,80,80,17,17,12,75,75,65,0.0,0,0,0,0,?,36173.0,47.0,53.0,5.0,0.0,4529.0,8043.0,6450.0,24017.0,772.0,5379.0,0.000942262,0.002482691,-0.000248804,0.886792453,?,0.563098346,0.26855977,0.143521101,0.379532713,0.001540428
2150,2150,500,UGA,600,MOR,1977,28,4,1977,22,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,1.0,18,4,0,0,0,0,1.0,18,4,0,2,4,1,3,0,1,25,25,17,17,17,75,75,75,0.0,0,0,0,0,135864.0,731447.0,23.0,85.0,15.0,3.0,2495.0,7026.0,12352.0,17899.0,492.0,5861.0,0.000829688,0.002780131,0.185746883,0.270588235,5.0,0.355109593,0.690094419,0.083944719,0.298435041,0.001950442
2150,2150,600,MOR,500,UGA,1977,28,4,1977,22,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,1.0,18,4,0,4,2,3,1,0,1,25,25,17,17,17,75,75,75,0.0,0,0,0,0,731447.0,135864.0,85.0,23.0,3.0,15.0,7026.0,2495.0,17899.0,12352.0,5861.0,492.0,0.002780131,0.000829688,5.383670435,3.695652174,0.2,2.816032064,1.449077073,11.91260163,3.350812947,0.001950442
2150,2150,500,UGA,651,EGY,1977,28,4,1977,25,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,1.0,18,4,0,0,0,0,1.0,18,4,0,2,4,1,3,0,1,28,28,17,17,17,75,75,75,0.0,0,0,0,0,135864.0,4715062.0,23.0,350.0,15.0,266.0,2495.0,21538.0,12352.0,37406.0,492.0,11854.0,0.000829688,0.008202363,0.028814892,0.065714286,0.056390977,0.115841768,0.330214404,0.041504977,0.101152372,0.007372674
2150,2150,651,EGY,500,UGA,1977,28,4,1977,25,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,1.0,18,4,0,4,2,3,1,0,1,28,28,17,17,17,75,75,75,0.0,0,0,0,0,4715062.0,135864.0,350.0,23.0,266.0,15.0,21538.0,2495.0,37406.0,12352.0,11854.0,492.0,0.008202363,0.000829688,34.70427781,15.2173913,17.73333333,8.63246493,3.028335492,24.09349593,9.886075671,0.007372674
2150,2150,540,ANG,600,MOR,1977,16,4,1977,22,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,3.0,18,4,1,0,0,0,1.0,18,4,0,1,4,1,3,0,1,37,37,17,17,17,75,75,75,0.0,0,0,0,0,?,731447.0,47.0,85.0,5.0,3.0,4529.0,7026.0,6450.0,17899.0,772.0,5861.0,0.000942262,0.002780131,-1.23e-05,0.552941176,1.666666667,0.64460575,0.360355327,0.131718137,0.338927327,0.001837869
2150,2150,600,MOR,540,ANG,1977,16,4,1977,22,5,1977,8,4,4.0,18,4,1,4,5,0,0,0,1.0,18,4,0,1,0,0,3.0,18,4,1,4,1,3,1,0,1,37,37,17,17,17,75,75,75,0.0,0,0,0,0,731447.0,?,85.0,47.0,3.0,5.0,7026.0,4529.0,17899.0,6450.0,5861.0,772.0,0.002780131,0.000942262,?,1.808510638,0.6,1.551335836,2.77503876,7.591968912,2.950485019,0.001837869
2150,2150,540,ANG,651,EGY,1977,28,4,1977,25,5,1977,8,4,4.0,18,4,1,4,5,1,0,0,3.0,18,4,1,0,0,0,1.0,18,4,0,1,4,1,3,0,1,28,28,17,17,17,75,75,75,0.0,0,0,0,0,?,4715062.0,47.0,350.0,5.0,266.0,4529.0,21538.0,6450.0,37406.0,772.0,11854.0,0.000942262,0.008202363,-1.91e-06,0.134285714,0.018796992,0.210279506,0.17243223,0.065125696,0.114876935,0.007260101
