keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
678-1963,670-1963,1108,1108,678,YAR,670,SAU,1963,5,10,1962,22,12,1963,5,1,0,18,4,1,3,2,0,0,0,,18,4,0,1,1,3,,18,4,1,4,1,3,1,0,2,357,445,17,17,17,75,75,75,0,0,0,0,0,10000,93186,8,35,0,0,23,21014,4319,4481,0,316,0.000305237,0.001477475,0.107312257,0.228571429,,0.001094508,0.963847356,0,0.206593467,0.001172238
651-1966,670-1966,1109,1109,651,EGY,670,SAU,1966,1,5,1966,14,5,1967,0,0,0,19,4,0,2,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,245,245,16,16,0,65,65,75,0,0,0,0,0,459982,178796,215,45,207,0,12643,25984,30076,4958,8920,706,0.006506861,0.00174383,2.572663818,4.777777778,,0.486568658,6.066155708,12.63456091,3.731362686,0.004763031
651-1967,670-1967,1109,1109,651,EGY,670,SAU,1967,1,5,1966,14,5,1967,5,3,0,19,4,0,2,1,1,1,2,1,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,2,135,380,16,16,0,65,65,75,0,0,0,0,0,570377,301189,220,50,203,0,10151,45902,30892,5132,9287,820,0.006484218,0.002432411,1.8937511,4.4,,0.221145048,6.019485581,11.32560976,2.665757952,0.004051807
670-1966,651-1966,1109,1109,670,SAU,651,EGY,1966,1,5,1966,14,5,1967,0,0,0,19,4,0,2,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,245,245,16,0,16,65,75,65,0,0,0,0,0,178796,459982,45,215,0,207,25984,12643,4958,30076,706,8920,0.00174383,0.006506861,0.388702167,0.209302326,0,2.055208416,0.164849049,0.079147982,0.267998606,0.004763031
670-1967,651-1967,1109,1109,670,SAU,651,EGY,1967,1,5,1966,14,5,1967,5,3,0,19,4,0,2,1,0,0,0,0,0,1,1,1,1,2,1,19,4,1,3,1,3,1,0,2,135,380,16,0,16,65,75,65,0,0,0,0,0,301189,570377,50,220,0,203,45902,10151,5132,30892,820,9287,0.002432411,0.006484218,0.528052499,0.227272727,0,4.521919023,0.166127153,0.088295467,0.375127832,0.004051807
670-1966,678-1966,1109,1109,670,SAU,678,YAR,1966,1,5,1966,14,5,1967,0,0,0,2,2,0,2,1,0,0,0,0,0,1,1,1,1,2,0,2,2,0,3,2,3,1,0,1,245,245,1,0,1,30,65,30,0,0,0,0,0,178796,12000,45,8,0,0,25984,31,4958,4566,706,105,0.00174383,0.000327892,14.89966667,5.625,,838.1935484,1.085851949,6.723809524,5.318303024,0.001415937
670-1967,678-1967,1109,1109,670,SAU,678,YAR,1967,1,5,1966,14,5,1967,5,3,0,2,2,0,2,1,0,0,0,0,0,1,1,1,1,2,0,2,2,0,3,2,3,1,0,2,135,380,1,0,1,30,65,30,0,0,0,0,0,301189,23364,50,10,0,0,45902,29,5132,4634,820,109,0.002432411,0.000347686,12.89115734,5,,1582.827586,1.107466552,7.52293578,6.996006363,0.002084725
678-1966,670-1966,1109,1109,678,YAR,670,SAU,1966,1,5,1966,14,5,1967,0,0,0,2,2,0,2,1,1,1,2,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,1,245,245,1,1,0,30,30,65,0,0,0,0,0,12000,178796,8,45,0,0,31,25984,4566,4958,105,706,0.000327892,0.00174383,0.067115595,0.177777778,,0.001193042,0.920935861,0.148725212,0.188029903,0.001415937
678-1967,670-1967,1109,1109,678,YAR,670,SAU,1967,1,5,1966,14,5,1967,5,3,0,2,2,0,2,1,1,1,2,0,2,2,0,0,0,0,0,0,1,1,2,3,1,3,0,2,135,380,1,1,0,30,30,65,0,0,0,0,0,23364,301189,10,50,0,0,29,45902,4634,5132,109,820,0.000347686,0.002432411,0.077572554,0.2,,0.000631781,0.902961808,0.132926829,0.142938692,0.002084725
670-1969,680-1969,1110,1110,670,SAU,680,YPR,1969,26,11,1969,12,12,1969,5,4,1,19,4,1,1,1,0,0,0,1,19,4,1,1,1,1,1,19,4,1,3,1,3,1,0,1,17,17,16,16,16,65,65,65,0,0,0,0,0,338333,19438,60,9,0,0,36516,9284,5521,1398,1124,254,0.002081091,0.000428382,17.40575162,6.666666667,,3.93321844,3.949213162,4.42519685,4.858020551,0.001652708
680-1969,670-1969,1110,1110,680,YPR,670,SAU,1969,26,11,1969,12,12,1969,5,4,1,19,4,1,1,1,1,1,1,1,19,4,1,0,0,0,1,19,4,1,1,3,1,3,0,1,17,17,16,16,16,65,65,65,0,0,0,0,0,19438,338333,9,60,0,0,9284,36516,1398,5521,254,1124,0.000428382,0.002081091,0.057452273,0.15,,0.254244715,0.253214997,0.225978648,0.205845156,0.001652708
41-1949,42-1949,1112,1112,41,HAI,42,DOM,1949,25,9,1949,31,1,1950,0,0,0,14,3,0,1,1,0,0,0,0,0,1,1,1,1,3,0,14,3,1,3,1,3,1,0,1,98,98,12,0,12,65,75,65,0,0,0,0,0,3120,,3,15,0,0,0,9,3293,2190,133,178,0.000388588,0.000532801,,0.2,,0,1.503652968,0.747191011,0.729330016,0.000144213
41-1950,42-1950,1112,1112,41,HAI,42,DOM,1950,25,9,1949,31,1,1950,5,1,0,14,3,0,1,1,0,0,0,0,0,1,1,1,1,3,0,14,3,1,3,1,3,1,0,2,32,130,12,0,12,65,75,65,0,0,0,0,0,3540,17649,3,15,0,0,1,10,3097,2240,134,182,0.000366011,0.000496983,0.200577936,0.2,,0.1,1.382589286,0.736263736,0.736464713,0.000130973
42-1949,41-1949,1112,1112,42,DOM,41,HAI,1949,25,9,1949,31,1,1950,0,0,0,14,3,0,1,1,1,1,3,0,14,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,98,98,12,12,0,65,65,75,0,0,0,0,0,,3120,15,3,0,0,9,0,2190,3293,178,133,0.000532801,0.000388588,-0.002884615,5,,,0.66504707,1.338345865,1.37112141,0.000144213
