keya,keyb,disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2,milex_a,milex_b,milper_a,milper_b,irst_a,irst_b,pec_a,pec_b,tpop_a,tpop_b,upop_a,upop_b,cinc_a,cinc_b,milex_ratio,milper_ratio,irst_ratio,pec_ratio,tpop_ratio,upop_ratio,cinc_ratio,power_asymmetry
Feb-87,645-1987,2739,2739,2,USA,645,IRQ,1987,17,5,1987,18,5,1987,5,3,2,19,4,0,1,1,0,0,0,2,10,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,2,2,16,8,16,65,20,65,0,0,0,0,0,273966000,13990000,2280,900,80876,0,2561765,31708,242804,16330,61975,12251,0.13402919,0.010586767,19.58298785,2.533333333,,80.79238678,14.86858543,5.058770713,12.66006799,0.123442423
645-1987,Feb-87,2739,2739,645,IRQ,2,USA,1987,17,5,1987,18,5,1987,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,10,3,1,1,3,1,3,0,1,2,2,16,16,8,65,65,20,0,0,0,0,0,13990000,273966000,900,2280,0,80876,31708,2561765,16330,242804,12251,61975,0.010586767,0.13402919,0.051064731,0.394736842,0,0.012377404,0.067255894,0.197676482,0.078988517,0.123442423
Feb-87,630-1987,2740,2740,2,USA,630,IRN,1987,27,1,1987,3,7,1988,0,0,0,19,4,1,1,1,1,1,2,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,339,339,16,16,16,65,65,65,0,0,0,0,0,273966000,8960000,2280,350,80876,783,2561765,70420,242804,50662,61975,18595,0.13402919,0.009191234,30.5765625,6.514285714,103.2899106,36.37837262,4.792625637,3.332885184,14.58228507,0.124837956
Feb-88,630-1988,2740,2740,2,USA,630,IRN,1988,27,1,1987,3,7,1988,5,3,0,19,4,1,1,1,1,1,2,1,19,4,1,0,0,0,,19,4,1,1,3,1,3,0,2,186,525,16,16,16,65,65,65,0,0,0,0,0,281935000,9900000,2250,654,90631,883,2669996,80050,245021,51909,62689,19118,0.13446887,0.011166685,28.47828283,3.440366972,102.6398641,33.35410369,4.720202662,3.279056387,12.04196859,0.123302185
630-1987,Feb-87,2740,2740,630,IRN,2,USA,1987,27,1,1987,3,7,1988,0,0,0,19,4,1,1,1,0,0,0,0,19,4,1,1,1,2,0,19,4,1,3,1,3,1,0,1,339,339,16,16,16,65,65,65,0,0,0,0,0,8960000,273966000,350,2280,783,80876,70420,2561765,50662,242804,18595,61975,0.009191234,0.13402919,0.032704788,0.153508772,0.009681488,0.02748886,0.208653894,0.300040339,0.068576358,0.124837956
630-1988,Feb-88,2740,2740,630,IRN,2,USA,1988,27,1,1987,3,7,1988,5,3,0,19,4,1,1,1,0,0,0,,19,4,1,1,1,2,1,19,4,1,3,1,3,1,0,2,186,525,16,16,16,65,65,65,0,0,0,0,0,9900000,281935000,654,2250,883,90631,80050,2669996,51909,245021,19118,62689,0.011166685,0.13446887,0.035114477,0.290666667,0.009742803,0.029981318,0.21185531,0.304965783,0.083042901,0.123302185
Feb-87,95-1987,2741,2741,2,USA,95,PAN,1987,24,9,1987,8,4,1988,0,0,0,17,4,0,1,1,1,1,2,0,9,3,1,0,0,0,0,17,4,1,1,3,1,3,0,1,99,99,15,7,15,81,49,81,0,0,0,0,0,273966000,104600,2280,12,80876,0,2561765,2944,242804,2257,61975,665,0.13402919,0.000300576,2619.17782,190,,870.1647418,107.5782012,93.19548872,445.9072896,0.133728614
Feb-88,95-1988,2741,2741,2,USA,95,PAN,1988,24,9,1987,8,4,1988,5,3,0,17,4,0,1,1,1,1,2,0,9,3,1,0,0,0,0,17,4,1,1,3,1,3,0,2,100,199,15,7,15,81,49,81,0,0,0,0,0,281935000,101000,2250,11,90631,0,2669996,2321,245021,2303,62689,673,0.13446887,0.000281937,2791.435644,204.5454545,,1150.364498,106.3920973,93.14858841,476.9462965,0.134186933
95-1987,Feb-87,2741,2741,95,PAN,2,USA,1987,24,9,1987,8,4,1988,0,0,0,17,4,0,1,1,0,0,0,0,17,4,1,1,1,2,0,9,3,1,3,1,3,1,0,1,99,99,15,15,7,81,81,49,0,0,0,0,0,104600,273966000,12,2280,0,80876,2944,2561765,2257,242804,665,61975,0.000300576,0.13402919,0.000381799,0.005263158,0,0.001149208,0.009295563,0.010730133,0.002242619,0.133728614
95-1988,Feb-88,2741,2741,95,PAN,2,USA,1988,24,9,1987,8,4,1988,5,3,0,17,4,0,1,1,0,0,0,0,17,4,1,1,1,2,0,9,3,1,3,1,3,1,0,2,100,199,15,15,7,81,81,49,0,0,0,0,0,101000,281935000,11,2250,0,90631,2321,2669996,2303,245021,673,62689,0.000281937,0.13446887,0.000358239,0.004888889,0,0.00086929,0.009399194,0.010735536,0.002096672,0.134186933
Feb-87,40-1987,2742,2742,2,USA,40,CUB,1987,1,5,1987,1,5,1987,5,3,0,9,3,0,1,1,1,1,3,0,9,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,7,7,0,49,49,81,0,0,0,0,0,273966000,1660000,2280,297,80876,402,2561765,18249,242804,10301,61975,3802,0.13402919,0.003281337,165.039759,7.676767677,201.1840796,140.3783769,23.57091545,16.30063125,40.84591446,0.130747854
40-1987,Feb-87,2742,2742,40,CUB,2,USA,1987,1,5,1987,1,5,1987,5,3,0,9,3,0,1,1,0,0,0,0,0,1,1,1,1,3,0,9,3,1,3,1,3,1,0,1,1,1,7,0,7,49,81,49,0,0,0,0,0,1660000,273966000,297,2280,402,80876,18249,2561765,10301,242804,3802,61975,0.003281337,0.13402919,0.006059146,0.130263158,0.004970572,0.007123604,0.042425166,0.061347317,0.024482253,0.130747854
620-1978,651-1978,2743,2743,620,LIB,651,EGY,1978,6,8,1978,8,8,1978,5,3,0,10,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,10,3,1,3,1,3,1,0,1,3,3,8,0,8,20,65,20,0,0,0,0,0,2729000,3322259,50,447,0,602,12466,23383,2525,38435,1628,12001,0.001823321,0.008186048,0.821429034,0.111856823,0,0.533122354,0.06569533,0.135655362,0.222735186,0.006362727
651-1978,620-1978,2743,2743,651,EGY,620,LIB,1978,6,8,1978,8,8,1978,5,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,3,3,8,8,0,20,20,65,0,0,0,0,0,3322259,2729000,447,50,602,0,23383,12466,38435,2525,12001,1628,0.008186048,0.001823321,1.217390619,8.94,,1.875742018,15.22178218,7.371621622,4.48963641,0.006362727
235-1961,434-1961,2744,2744,235,POR,434,BEN,1961,25,7,1961,1,8,1961,2,2,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,1,8,8,14,0,14,84,65,84,0,0,0,0,0,170725,1945,75,0,6,0,2829,1,8938,2106,1150,0,0.001887072,0.000120177,87.77634961,,,2829,4.244064577,,15.7024724,0.001766895
434-1961,235-1961,2744,2744,434,BEN,235,POR,1961,25,7,1961,1,8,1961,1,2,0,16,4,0,1,1,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,8,8,14,14,0,84,84,65,0,0,0,0,0,1945,170725,0,75,0,6,1,2829,2106,8938,0,1150,0.000120177,0.001887072,0.01139259,0,0,0.000353482,0.235623182,0,0.063684239,0.001766895
850-1988,910-1988,2745,2745,850,INS,910,PNG,1988,22,10,1988,4,11,1988,5,3,0,19,4,0,1,1,1,1,2,,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,14,14,16,16,0,65,65,75,0,0,0,0,0,1402000,38110,284,3,2050,0,115884,1984,175589,3557,22827,158,0.012813804,0.000189052,36.78824456,94.66666667,,58.40927419,49.36435198,144.4746835,67.7792314,0.012624752
910-1988,850-1988,2745,2745,910,PNG,850,INS,1988,22,10,1988,4,11,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,,19,4,1,3,1,3,1,0,1,14,14,16,0,16,65,75,65,0,0,0,0,0,38110,1402000,3,284,0,2050,1984,115884,3557,175589,158,22827,0.000189052,0.012813804,0.027182596,0.01056338,0,0.017120569,0.020257533,0.006921628,0.014753782,0.012624752
820-1988,840-1988,2746,2746,820,MAL,840,PHI,1988,4,5,1988,18,8,1988,7,3,0,17,4,0,1,1,1,1,2,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,107,107,15,15,0,81,81,75,0,0,0,0,0,1612000,857550,113,148,0,300,20170,29915,16942,58721,2846,13482,0.002160668,0.005278798,1.879773774,0.763513514,0,0.67424369,0.288516885,0.211096277,0.4093106,0.00311813
840-1988,820-1988,2746,2746,840,PHI,820,MAL,1988,4,5,1988,18,8,1988,7,3,0,17,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,17,4,1,3,1,3,1,0,1,107,107,15,0,15,81,75,81,0,0,0,0,0,857550,1612000,148,113,300,0,29915,20170,58721,16942,13482,2846,0.005278798,0.002160668,0.531978908,1.309734513,,1.483143282,3.466001653,4.737174982,2.443132427,0.00311813
775-1988,800-1988,2747,2747,775,MYA,800,THI,1988,8,8,1988,11,10,1988,5,3,0,17,4,0,1,1,1,1,2,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,65,65,15,15,0,81,81,75,0,0,0,0,0,286000,1830000,186,256,0,552,8051,41498,39839,54326,5995,7487,0.003379562,0.005303488,0.156284153,0.7265625,0,0.19400935,0.733332106,0.80072125,0.637233789,0.001923926
800-1988,775-1988,2747,2747,800,THI,775,MYA,1988,8,8,1988,11,10,1988,5,3,0,17,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,17,4,1,3,1,3,1,0,1,65,65,15,0,15,81,75,81,0,0,0,0,0,1830000,286000,256,186,552,0,41498,8051,54326,39839,7487,5995,0.005303488,0.003379562,6.398601399,1.376344086,,5.154390759,1.363638646,1.248874062,1.569282761,0.001923926
740-1988,910-1988,2748,2748,740,JPN,910,PNG,1988,14,11,1988,14,11,1988,8,4,0,17,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,17,4,1,3,1,3,1,0,1,1,1,15,0,15,81,65,81,0,0,0,0,0,28406000,38110,245,3,105680,0,502639,1984,122578,3557,71519,158,0.049770355,0.000189052,745.3686696,81.66666667,,253.3462702,34.46106269,452.6518987,263.2626821,0.049581303
910-1988,740-1988,2748,2748,910,PNG,740,JPN,1988,14,11,1988,14,11,1988,8,4,0,17,4,0,1,1,1,1,2,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,15,15,0,81,81,65,0,0,0,0,0,38110,28406000,3,245,0,105680,1984,502639,3557,122578,158,71519,0.000189052,0.049770355,0.001341618,0.012244898,0,0.003947167,0.029018258,0.002209203,0.003798487,0.049581303
710-1988,816-1988,2749,2749,710,CHN,816,DRV,1988,20,2,1988,16,3,1988,1,2,0,18,4,0,1,1,1,1,1,,16,4,1,0,0,0,,18,4,1,1,3,1,3,0,1,26,26,17,14,17,75,84,75,0,0,0,0,0,5860000,2540000,3780,1250,59430,82,1302601,14647,1121980,63727,165686,7499,0.11289784,0.011051304,2.307086614,3.024,724.7560976,88.93295555,17.60603826,22.09441259,10.21579354,0.101846536
816-1988,710-1988,2749,2749,816,DRV,710,CHN,1988,20,2,1988,16,3,1988,2,2,0,18,4,0,1,1,0,0,0,,18,4,1,1,1,1,,16,4,1,3,1,3,1,0,1,26,26,17,17,14,75,75,84,0,0,0,0,0,2540000,5860000,1250,3780,82,59430,14647,1302601,63727,1121980,7499,165686,0.011051304,0.11289784,0.433447099,0.330687831,0.001379775,0.011244426,0.056798695,0.045260312,0.097887648,0.101846536
710-1988,713-1988,2750,2750,710,CHN,713,TAW,1988,29,4,1988,9,12,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,225,225,16,0,16,65,75,65,0,0,0,0,0,5860000,6700000,3780,406,59430,8288,1302601,10658,1121980,19904,165686,11834,0.11289784,0.007763348,0.874626866,9.310344828,7.170608108,122.218146,56.36957395,14.00084502,14.54241724,0.105134492
713-1988,710-1988,2750,2750,713,TAW,710,CHN,1988,29,4,1988,9,12,1988,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,225,225,16,16,0,65,65,75,0,0,0,0,0,6700000,5860000,406,3780,8288,59430,10658,1302601,19904,1121980,11834,165686,0.007763348,0.11289784,1.14334471,0.107407407,0.139458186,0.008182091,0.017740067,0.07142426,0.068764359,0.105134492
630-1988,696-1988,2752,2752,630,IRN,696,UAE,1988,19,4,1988,19,4,1988,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,75,0,0,0,0,0,9900000,1590000,654,43,883,0,80050,35487,51909,1789,19118,1249,0.011166685,0.001234121,6.226415094,15.20930233,,2.255755629,29.0156512,15.30664532,9.048288041,0.009932564
696-1988,630-1988,2752,2752,696,UAE,630,IRN,1988,19,4,1988,19,4,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,75,65,0,0,0,0,0,1590000,9900000,43,654,0,883,35487,80050,1789,51909,1249,19118,0.001234121,0.011166685,0.160606061,0.065749235,0,0.443310431,0.034464158,0.065331102,0.110518144,0.009932564
560-1988,572-1988,2753,2753,560,SAF,572,SWA,1988,10,10,1988,30,10,1988,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,21,21,16,16,0,65,65,75,0,0,0,0,0,3410000,8000,100,3,8830,0,184479,648,35425,717,9706,0,0.008039125,5.09084E-05,426.25,33.33333333,,284.6898148,49.40725244,,157.9134224,0.007988217
572-1988,560-1988,2753,2753,572,SWA,560,SAF,1988,10,10,1988,30,10,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,21,21,16,0,16,65,75,65,0,0,0,0,0,8000,3410000,3,100,0,8830,648,184479,717,35425,0,9706,5.09084E-05,0.008039125,0.002346041,0.03,0,0.003512595,0.020239944,0,0.006332584,0.007988217
560-1988,571-1988,2754,2754,560,SAF,571,BOT,1988,28,3,1988,21,7,1988,5,3,0,19,4,1,1,1,1,1,2,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,116,116,16,16,16,65,65,65,0,0,0,0,0,3410000,38100,100,4,8830,0,184479,1080,35425,1210,9706,114,0.008039125,9.98344E-05,89.50131234,25,,170.8138889,29.2768595,85.14035088,80.52458541,0.007939291
571-1988,560-1988,2754,2754,571,BOT,560,SAF,1988,28,3,1988,21,7,1988,5,3,0,19,4,1,1,1,0,0,0,0,19,4,1,1,1,2,0,19,4,1,3,1,3,1,0,1,116,116,16,16,16,65,65,65,0,0,0,0,0,38100,3410000,4,100,0,8830,1080,184479,1210,35425,114,9706,9.98344E-05,0.008039125,0.011173021,0.04,0,0.005854325,0.034156669,0.011745312,0.012418568,0.007939291
552-1988,560-1988,2755,2755,552,ZIM,560,SAF,1988,14,2,1988,14,2,1988,5,3,0,2,2,0,1,1,0,0,0,0,0,1,1,1,1,2,0,2,2,1,3,1,3,1,0,1,1,1,1,0,1,30,0,30,0,0,0,0,0,460000,3410000,45,100,500,8830,10576,184479,8878,35425,1605,9706,0.001104969,0.008039125,0.134897361,0.45,0.056625142,0.057329018,0.250613973,0.165361632,0.137448873,0.006934157
560-1988,552-1988,2755,2755,560,SAF,552,ZIM,1988,14,2,1988,14,2,1988,5,3,0,2,2,0,1,1,1,1,2,0,2,2,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,1,1,0,30,30,84,0,0,0,0,0,3410000,460000,100,45,8830,500,184479,10576,35425,8878,9706,1605,0.008039125,0.001104969,7.413043478,2.222222222,17.66,17.44317322,3.990200496,6.047352025,7.275432508,0.006934157
530-1988,625-1988,2757,2757,530,ETH,625,SUD,1988,7,10,1988,7,10,1988,5,3,0,14,3,0,1,1,1,0,0,0,14,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,12,12,0,65,65,84,0,0,0,0,0,536300,478000,250,65,0,0,13444,12676,48587,24245,2123,3592,0.003612367,0.001925892,1.121966527,3.846153846,,1.060586936,2.004000825,0.591035635,1.875685072,0.001686475
625-1988,530-1988,2757,2757,625,SUD,530,ETH,1988,7,10,1988,7,10,1988,5,3,0,14,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,14,3,1,3,1,3,1,0,1,1,1,12,0,12,65,0,65,0,0,0,0,0,478000,536300,65,250,0,0,12676,13444,24245,48587,3592,2123,0.001925892,0.003612367,0.891292187,0.26,,0.942874145,0.499001791,1.69194536,0.53313854,0.001686475
352-1988,640-1988,2760,2760,352,CYP,640,TUR,1988,11,12,1988,11,12,1988,5,3,1,14,3,0,1,1,0,0,0,0,0,1,1,1,0,0,1,14,3,1,3,1,3,1,0,1,1,1,12,0,12,65,84,65,0,0,0,0,0,124830,1700000,13,847,0,8009,1329,69573,664,53715,286,23905,0.000176836,0.012956067,0.073429412,0.015348288,0,0.019102238,0.012361538,0.011964024,0.013648915,0.012779231
640-1988,352-1988,2760,2760,640,TUR,352,CYP,1988,11,12,1988,11,12,1988,5,3,1,14,3,0,1,1,1,0,0,1,14,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,12,12,0,65,65,0,0,0,0,0,0,1700000,124830,847,13,8009,0,69573,1329,53715,664,23905,286,0.012956067,0.000176836,13.61852119,65.15384615,,52.34988713,80.89608434,83.58391608,73.26589581,0.012779231
200-1988,645-1988,2767,2767,200,UKG,645,IRQ,1988,14,5,1988,14,5,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,49,65,0,0,0,0,0,31910000,12870000,324,1000,18950,0,336596,39005,57158,16882,45914,12594,0.024329383,0.010906802,2.479409479,0.324,,8.629560313,3.385736287,3.645704304,2.230661472,0.013422581
645-1988,200-1988,2767,2767,645,IRQ,200,UKG,1988,14,5,1988,14,5,1988,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,49,0,0,0,0,0,12870000,31910000,1000,324,0,18950,39005,336596,16882,57158,12594,45914,0.010906802,0.024329383,0.403321843,3.086419753,0,0.115880759,0.29535673,0.274295422,0.448297517,0.013422581
100-1988,101-1988,2768,2768,100,COL,101,VEN,1988,16,8,1988,16,8,1988,5,3,0,18,4,1,1,1,1,0,0,,18,4,1,0,0,0,,18,4,1,1,3,1,3,0,1,1,1,17,17,17,75,75,75,0,0,0,0,0,240510,647000,76,73,777,3650,37228,113160,31141,18157,13548,7217,0.004056957,0.004424581,0.371731066,1.04109589,0.212876712,0.328985507,1.715096106,1.877234308,0.91691311,0.000367625
101-1988,100-1988,2768,2768,101,VEN,100,COL,1988,16,8,1988,16,8,1988,5,3,0,18,4,1,1,1,0,0,0,,18,4,1,1,0,0,,18,4,1,3,1,3,1,0,1,1,1,17,17,17,75,75,75,0,0,0,0,0,647000,240510,73,76,3650,777,113160,37228,18157,31141,7217,13548,0.004424581,0.004056957,2.690116835,0.960526316,4.697554698,3.039647577,0.583057705,0.532698553,1.090615882,0.000367625
94-1988,95-1988,2770,2770,94,COS,95,PAN,1988,9,9,1988,11,10,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,19,4,1,3,1,3,1,0,1,33,33,16,0,16,65,49,65,0,0,0,0,0,21000,101000,8,11,0,0,2355,2321,2851,2303,456,673,0.000238483,0.000281937,0.207920792,0.727272727,,1.014648858,1.237950499,0.67756315,0.845872766,4.34542E-05
95-1988,94-1988,2770,2770,95,PAN,94,COS,1988,9,9,1988,11,10,1988,5,3,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,33,33,16,16,0,65,65,30,0,0,0,0,0,101000,21000,11,8,0,0,2321,2355,2303,2851,673,456,0.000281937,0.000238483,4.80952381,1.375,,0.985562633,0.807786741,1.475877193,1.182210895,4.34542E-05
91-1988,93-1988,2771,2771,91,HON,93,NIC,1988,29,9,1988,29,9,1988,5,3,0,14,3,0,1,1,1,0,0,0,14,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,12,12,0,65,65,49,0,0,0,0,0,124000,142000,19,74,0,0,2512,2333,4802,3622,1410,813,0.0005198,0.000717791,0.873239437,0.256756757,,1.076725246,1.325786858,1.734317343,0.724165774,0.000197991
93-1988,91-1988,2771,2771,93,NIC,91,HON,1988,29,9,1988,29,9,1988,5,3,0,14,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,14,3,1,3,1,3,1,0,1,1,1,12,0,12,65,30,65,0,0,0,0,0,142000,124000,74,19,0,0,2333,2512,3622,4802,813,1410,0.000717791,0.0005198,1.14516129,3.894736842,,0.928742038,0.754269055,0.576595745,1.380899286,0.000197991
630-1988,692-1988,2772,2772,630,IRN,692,BAH,1988,19,4,1988,19,4,1988,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,75,0,0,0,0,0,9900000,164894,654,5,883,0,80050,25133,51909,473,19118,122,0.011166685,0.000424034,60.03857023,130.8,,3.185055505,109.744186,156.704918,26.33441572,0.010742651
692-1988,630-1988,2772,2772,692,BAH,630,IRN,1988,19,4,1988,19,4,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,75,65,0,0,0,0,0,164894,9900000,5,654,0,883,25133,80050,473,51909,122,19118,0.000424034,0.011166685,0.01665596,0.00764526,0,0.313966271,0.0091121,0.006381421,0.037973123,0.010742651
20-1988,220-1988,2773,2773,20,CAN,220,FRN,1988,14,4,1988,6,5,1988,7,1,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,23,23,16,16,0,65,65,0,0,0,0,0,0,8830000,30700000,88,558,15193,19122,289860,209260,26798,56118,9300,9603,0.011349097,0.018714683,0.28762215,0.157706093,0.794529861,1.385166778,0.477529491,0.96844736,0.606427424,0.007365586
220-1988,20-1988,2773,2773,220,FRN,20,CAN,1988,14,4,1988,6,5,1988,7,1,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,2,0,19,4,1,3,1,3,1,0,1,23,23,16,0,16,65,0,65,0,0,0,0,0,30700000,8830000,558,88,19122,15193,209260,289860,56118,26798,9603,9300,0.018714683,0.011349097,3.476783692,6.340909091,1.258605937,0.721934727,2.094111501,1.032580645,1.649001943,0.007365586
Feb-88,645-1988,2774,2774,2,USA,645,IRQ,1988,12,2,1988,12,2,1988,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,0,65,0,0,0,0,0,281935000,12870000,2250,1000,90631,0,2669996,39005,245021,16882,62689,12594,0.13446887,0.010906802,21.90637141,2.25,,68.45265992,14.51374245,4.977687788,12.32889989,0.123562068
645-1988,Feb-88,2774,2774,645,IRQ,2,USA,1988,12,2,1988,12,2,1988,5,3,0,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,0,0,0,0,0,0,12870000,281935000,1000,2250,0,90631,39005,2669996,16882,245021,12594,62689,0.010906802,0.13446887,0.04564882,0.444444444,0,0.014608636,0.068900217,0.200896489,0.081110238,0.123562068
Feb-88,620-1988,2775,2775,2,USA,620,LIB,1988,30,12,1988,4,1,1989,0,0,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,9,3,1,1,3,1,3,0,1,2,2,16,16,7,65,65,49,0,0,0,0,0,281935000,1390000,2250,86,90631,0,2669996,26911,245021,3821,62689,3013,0.13446887,0.001647678,202.8309353,26.1627907,,99.21578537,64.12483643,20.80617325,81.61115874,0.132821193
Feb-89,620-1989,2775,2775,2,USA,620,LIB,1989,30,12,1988,4,1,1989,5,3,0,19,4,0,1,1,1,1,2,0,19,4,1,0,0,0,0,9,3,1,1,3,1,3,0,2,5,7,16,16,7,65,65,49,0,0,0,0,0,294880000,1510000,2240,86,87722,0,2745073,30679,247342,3982,63402,3152,0.14823866,0.001789631,195.2847682,26.04651163,,89.47726458,62.11501758,20.11484772,82.8319739,0.146449029
620-1988,Feb-88,2775,2775,620,LIB,2,USA,1988,30,12,1988,4,1,1989,0,0,0,19,4,0,1,1,0,0,0,0,9,3,1,1,1,2,0,19,4,1,3,1,3,1,0,1,2,2,16,7,16,65,49,65,0,0,0,0,0,1390000,281935000,86,2250,0,90631,26911,2669996,3821,245021,3013,62689,0.001647678,0.13446887,0.004930214,0.038222222,0,0.010079041,0.015594582,0.048062659,0.012253226,0.132821193
620-1989,Feb-89,2775,2775,620,LIB,2,USA,1989,30,12,1988,4,1,1989,5,3,0,19,4,0,1,1,0,0,0,0,9,3,1,1,1,2,0,19,4,1,3,1,3,1,0,2,5,7,16,7,16,65,49,65,0,0,0,0,0,1510000,294880000,86,2240,0,87722,30679,2745073,3982,247342,3152,63402,0.001789631,0.14823866,0.005120727,0.038392857,0,0.011176023,0.016099166,0.04971452,0.012072633,0.146449029
800-1987,812-1987,2776,2776,800,THI,812,LAO,1987,20,5,1987,19,2,1988,0,0,0,19,4,1,1,1,1,1,1,0,18,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,226,226,16,17,16,65,75,65,0,0,0,0,0,1740000,,256,56,534,0,37751,1741,53427,3819,7476,329,0.005315458,0.000633636,,4.571428571,,21.68351522,13.9897879,22.72340426,8.388819056,0.004681822
800-1988,812-1988,2776,2776,800,THI,812,LAO,1988,20,5,1987,19,2,1988,6,1,3,19,4,1,1,1,1,1,1,2,18,4,1,0,0,0,3,19,4,1,1,3,1,3,0,2,51,277,16,17,16,65,75,65,0,0,0,0,0,1830000,,256,56,552,0,41498,1784,54326,3943,7487,339,0.005303488,0.000630295,,4.571428571,,23.26121076,13.77783414,22.08554572,8.41429239,0.004673192
812-1987,800-1987,2776,2776,812,LAO,800,THI,1987,20,5,1987,19,2,1988,0,0,0,19,4,1,1,1,0,0,0,0,19,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,226,226,16,16,17,65,65,75,0,0,0,0,0,,1740000,56,256,0,534,1741,37751,3819,53427,329,7476,0.000633636,0.005315458,-5.17E-06,0.21875,0,0.046117984,0.071480712,0.044007491,0.11920629,0.004681822
812-1988,800-1988,2776,2776,812,LAO,800,THI,1988,20,5,1987,19,2,1988,6,1,3,19,4,1,1,1,0,0,0,3,19,4,1,1,1,1,2,18,4,1,3,1,3,1,0,2,51,277,16,16,17,65,65,75,0,0,0,0,0,,1830000,56,256,0,552,1784,41498,3943,54326,339,7487,0.000630295,0.005303488,-4.92E-06,0.21875,0,0.042990024,0.072580348,0.045278483,0.118845407,0.004673192
